id,russian,lincos,category,subcategory,difficulty,concepts
logic_1357,a является элементом множества Rat,a ∈ Rat,logic,membership,2,"['logic', 'membership']"
math_127,два умножить на тринадцать равно двадцать шесть,10 * 1101 = 11010,math,multiplication,1,"['arithmetic', 'multiplication']"
math_583,тринадцать минус восемь равно пять,1101 - 1000 = 101,math,subtraction,1,"['arithmetic', 'subtraction']"
logic_1339,"если z равно y, то y равно z",z = y . → . y = z,logic,implication,2,"['logic', 'implication']"
logic_7,"если a равно c, то c равно a",a = c . → . c = a,logic,implication,2,"['logic', 'implication']"
comp_20,шесть меньше или равно семь,110 ≤ 111,comparison,меньше или равно,1,"['comparison', 'inequality']"
logic_601,z является элементом множества Pri,z ∈ Pri,logic,membership,2,"['logic', 'membership']"
math_957,три минус два равно один,11 - 10 = 1,math,subtraction,1,"['arithmetic', 'subtraction']"
logic_111,"для всех b, если b принадлежит Pri, то b принадлежит Num",∧ b . b ∈ Pri . → . b ∈ Num,logic,quantifier,3,"['logic', 'quantifier']"
logic_390,"если x равно a, то a равно x",x = a . → . a = x,logic,implication,2,"['logic', 'implication']"
math_470,девять минус семь равно два,1001 - 111 = 10,math,subtraction,1,"['arithmetic', 'subtraction']"
logic_1381,"для всех b, если b принадлежит Rea, то b принадлежит Num",∧ b . b ∈ Rea . → . b ∈ Num,logic,quantifier,3,"['logic', 'quantifier']"
logic_1285,"для всех b, если b принадлежит Com, то b принадлежит Pri",∧ b . b ∈ Com . → . b ∈ Pri,logic,quantifier,3,"['logic', 'quantifier']"
logic_597,"если x равно a, то a равно x",x = a . → . a = x,logic,implication,2,"['logic', 'implication']"
logic_922,"существует y такой, что y принадлежит Rat",∨ y . y ∈ Rat,logic,quantifier,3,"['logic', 'quantifier']"
math_92,четырнадцать умножить на пять равно семьдесят,1110 * 101 = 1000110,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_1287,"если c равно x, то x равно c",c = x . → . x = c,logic,implication,2,"['logic', 'implication']"
logic_622,y является элементом множества Pri,y ∈ Pri,logic,membership,2,"['logic', 'membership']"
math_1112,десять плюс двенадцать равно двадцать два,1010 + 1100 = 10110,math,addition,1,"['arithmetic', 'addition']"
logic_262,x является элементом множества Rat,x ∈ Rat,logic,membership,2,"['logic', 'membership']"
math_599,одиннадцать умножить на семь равно семьдесят семь,1011 * 111 = 1001101,math,multiplication,1,"['arithmetic', 'multiplication']"
comp_67,восемнадцать больше или равно восемь,10010 ≥ 1000,comparison,больше или равно,1,"['comparison', 'inequality']"
logic_153,c равно a,c = a,logic,equality,1,"['logic', 'equality']"
comp_130,восемь больше шесть,1000 > 110,comparison,больше,1,"['comparison', 'inequality']"
logic_1394,b является элементом множества Rat,b ∈ Rat,logic,membership,2,"['logic', 'membership']"
comp_407,восемь больше или равно два,1000 ≥ 10,comparison,больше или равно,1,"['comparison', 'inequality']"
logic_182,"существует x такой, что x принадлежит Rat",∨ x . x ∈ Rat,logic,quantifier,3,"['logic', 'quantifier']"
logic_279,a равно c,a = c,logic,equality,1,"['logic', 'equality']"
math_207,двенадцать плюс восемь равно двадцать,1100 + 1000 = 10100,math,addition,1,"['arithmetic', 'addition']"
logic_819,z равно b,z = b,logic,equality,1,"['logic', 'equality']"
math_186,шесть делить на два равно три,110 / 10 = 11,math,division,1,"['arithmetic', 'division']"
comp_239,девять больше или равно шесть,1001 ≥ 110,comparison,больше или равно,1,"['comparison', 'inequality']"
logic_1442,"если z равно a, то a равно z",z = a . → . a = z,logic,implication,2,"['logic', 'implication']"
logic_1450,c является элементом множества Num,c ∈ Num,logic,membership,2,"['logic', 'membership']"
math_726,четырнадцать минус три равно одиннадцать,1110 - 11 = 1011,math,subtraction,1,"['arithmetic', 'subtraction']"
math_248,один плюс двенадцать равно тринадцать,1 + 1100 = 1101,math,addition,1,"['arithmetic', 'addition']"
logic_1252,"если z равно a, то a равно z",z = a . → . a = z,logic,implication,2,"['logic', 'implication']"
logic_1325,c является элементом множества Rat,c ∈ Rat,logic,membership,2,"['logic', 'membership']"
math_811,тринадцать плюс пять равно восемнадцать,1101 + 101 = 10010,math,addition,1,"['arithmetic', 'addition']"
logic_204,"если z равно x, то x равно z",z = x . → . x = z,logic,implication,2,"['logic', 'implication']"
logic_344,b является элементом множества Rea,b ∈ Rea,logic,membership,2,"['logic', 'membership']"
math_288,четыре плюс тринадцать равно семнадцать,100 + 1101 = 10001,math,addition,1,"['arithmetic', 'addition']"
math_124,двенадцать плюс семь равно девятнадцать,1100 + 111 = 10011,math,addition,1,"['arithmetic', 'addition']"
math_151,восемь плюс четыре равно двенадцать,1000 + 100 = 1100,math,addition,1,"['arithmetic', 'addition']"
comp_250,пять меньше или равно шесть,101 ≤ 110,comparison,меньше или равно,1,"['comparison', 'inequality']"
logic_1498,"существует b такой, что b принадлежит Com",∨ b . b ∈ Com,logic,quantifier,3,"['logic', 'quantifier']"
logic_1212,a является элементом множества Com,a ∈ Com,logic,membership,2,"['logic', 'membership']"
logic_815,"существует b такой, что b принадлежит Int",∨ b . b ∈ Int,logic,quantifier,3,"['logic', 'quantifier']"
comp_459,девять меньше или равно четырнадцать,1001 ≤ 1110,comparison,меньше или равно,1,"['comparison', 'inequality']"
math_87,четырнадцать умножить на пять равно семьдесят,1110 * 101 = 1000110,math,multiplication,1,"['arithmetic', 'multiplication']"
math_1008,четыре умножить на тринадцать равно пятьдесят два,100 * 1101 = 110100,math,multiplication,1,"['arithmetic', 'multiplication']"
comp_93,четыре меньше или равно семь,100 ≤ 111,comparison,меньше или равно,1,"['comparison', 'inequality']"
logic_167,"для всех b, если b принадлежит Pri, то b принадлежит Rea",∧ b . b ∈ Pri . → . b ∈ Rea,logic,quantifier,3,"['logic', 'quantifier']"
comp_399,девять больше пять,1001 > 101,comparison,больше,1,"['comparison', 'inequality']"
logic_794,a является элементом множества Int,a ∈ Int,logic,membership,2,"['logic', 'membership']"
comp_491,двенадцать больше или равно девять,1100 ≥ 1001,comparison,больше или равно,1,"['comparison', 'inequality']"
math_795,двенадцать плюс восемь равно двадцать,1100 + 1000 = 10100,math,addition,1,"['arithmetic', 'addition']"
logic_41,z равно b,z = b,logic,equality,1,"['logic', 'equality']"
math_428,пятнадцать плюс девять равно двадцать четыре,1111 + 1001 = 11000,math,addition,1,"['arithmetic', 'addition']"
math_891,двенадцать минус четыре равно восемь,1100 - 100 = 1000,math,subtraction,1,"['arithmetic', 'subtraction']"
math_650,четыре умножить на одиннадцать равно сорок четыре,100 * 1011 = 101100,math,multiplication,1,"['arithmetic', 'multiplication']"
comp_307,семнадцать больше четыре,10001 > 100,comparison,больше,1,"['comparison', 'inequality']"
math_368,двенадцать делить на шесть равно два,1100 / 110 = 10,math,division,1,"['arithmetic', 'division']"
math_1041,одиннадцать умножить на один равно одиннадцать,1011 * 1 = 1011,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_181,"если y равно x, то x равно y",y = x . → . x = y,logic,implication,2,"['logic', 'implication']"
math_24,один плюс девять равно десять,1 + 1001 = 1010,math,addition,1,"['arithmetic', 'addition']"
math_75,шесть делить на один равно шесть,110 / 1 = 110,math,division,1,"['arithmetic', 'division']"
comp_125,шестнадцать больше пять,10000 > 101,comparison,больше,1,"['comparison', 'inequality']"
math_344,семь умножить на четыре равно двадцать восемь,111 * 100 = 11100,math,multiplication,1,"['arithmetic', 'multiplication']"
math_120,один плюс десять равно одиннадцать,1 + 1010 = 1011,math,addition,1,"['arithmetic', 'addition']"
logic_157,"если a равно z, то z равно a",a = z . → . z = a,logic,implication,2,"['logic', 'implication']"
comp_85,два меньше или равно семнадцать,10 ≤ 10001,comparison,меньше или равно,1,"['comparison', 'inequality']"
math_942,три умножить на три равно девять,11 * 11 = 1001,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_1,b является элементом множества Rea,b ∈ Rea,logic,membership,2,"['logic', 'membership']"
math_663,двенадцать минус одиннадцать равно один,1100 - 1011 = 1,math,subtraction,1,"['arithmetic', 'subtraction']"
logic_1093,b равно a,b = a,logic,equality,1,"['logic', 'equality']"
math_436,четыре умножить на пятнадцать равно шестьдесят,100 * 1111 = 111100,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_277,x равно y,x = y,logic,equality,1,"['logic', 'equality']"
math_171,три умножить на девять равно двадцать семь,11 * 1001 = 11011,math,multiplication,1,"['arithmetic', 'multiplication']"
math_118,пять плюс одиннадцать равно шестнадцать,101 + 1011 = 10000,math,addition,1,"['arithmetic', 'addition']"
logic_68,z является элементом множества Rat,z ∈ Rat,logic,membership,2,"['logic', 'membership']"
logic_1451,y является элементом множества Pri,y ∈ Pri,logic,membership,2,"['logic', 'membership']"
logic_609,y равно a,y = a,logic,equality,1,"['logic', 'equality']"
comp_449,двенадцать больше или равно четыре,1100 ≥ 100,comparison,больше или равно,1,"['comparison', 'inequality']"
logic_184,"для всех a, если a принадлежит Pri, то a принадлежит Int",∧ a . a ∈ Pri . → . a ∈ Int,logic,quantifier,3,"['logic', 'quantifier']"
comp_379,три больше или равно три,11 ≥ 11,comparison,больше или равно,1,"['comparison', 'inequality']"
logic_113,"если z равно a, то a равно z",z = a . → . a = z,logic,implication,2,"['logic', 'implication']"
math_786,тринадцать минус один равно двенадцать,1101 - 1 = 1100,math,subtraction,1,"['arithmetic', 'subtraction']"
comp_381,три меньше или равно двадцать,11 ≤ 10100,comparison,меньше или равно,1,"['comparison', 'inequality']"
logic_318,"если y равно b, то b равно y",y = b . → . b = y,logic,implication,2,"['logic', 'implication']"
logic_886,"для всех x, если x принадлежит Num, то x принадлежит Rea",∧ x . x ∈ Num . → . x ∈ Rea,logic,quantifier,3,"['logic', 'quantifier']"
math_1160,шесть умножить на пятнадцать равно девяносто,110 * 1111 = 1011010,math,multiplication,1,"['arithmetic', 'multiplication']"
math_997,два плюс шесть равно восемь,10 + 110 = 1000,math,addition,1,"['arithmetic', 'addition']"
math_363,двенадцать умножить на четыре равно сорок восемь,1100 * 100 = 110000,math,multiplication,1,"['arithmetic', 'multiplication']"
math_1066,шесть умножить на два равно двенадцать,110 * 10 = 1100,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_932,y является элементом множества Com,y ∈ Com,logic,membership,2,"['logic', 'membership']"
math_598,семь умножить на один равно семь,111 * 1 = 111,math,multiplication,1,"['arithmetic', 'multiplication']"
math_584,семь минус один равно шесть,111 - 1 = 110,math,subtraction,1,"['arithmetic', 'subtraction']"
math_930,три делить на один равно три,11 / 1 = 11,math,division,1,"['arithmetic', 'division']"
logic_1310,"если z равно c, то c равно z",z = c . → . c = z,logic,implication,2,"['logic', 'implication']"
logic_700,y является элементом множества Rea,y ∈ Rea,logic,membership,2,"['logic', 'membership']"
logic_442,"для всех c, если c принадлежит Com, то c принадлежит Int",∧ c . c ∈ Com . → . c ∈ Int,logic,quantifier,3,"['logic', 'quantifier']"
logic_884,"существует x такой, что x принадлежит Num",∨ x . x ∈ Num,logic,quantifier,3,"['logic', 'quantifier']"
logic_1130,"для всех b, если b принадлежит Com, то b принадлежит Int",∧ b . b ∈ Com . → . b ∈ Int,logic,quantifier,3,"['logic', 'quantifier']"
math_769,два умножить на четыре равно восемь,10 * 100 = 1000,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_1436,c является элементом множества Com,c ∈ Com,logic,membership,2,"['logic', 'membership']"
logic_448,c равно b,c = b,logic,equality,1,"['logic', 'equality']"
math_1216,четыре плюс двенадцать равно шестнадцать,100 + 1100 = 10000,math,addition,1,"['arithmetic', 'addition']"
logic_1017,a является элементом множества Rat,a ∈ Rat,logic,membership,2,"['logic', 'membership']"
math_7,пятнадцать делить на один равно пятнадцать,1111 / 1 = 1111,math,division,1,"['arithmetic', 'division']"
math_89,четыре плюс один равно пять,100 + 1 = 101,math,addition,1,"['arithmetic', 'addition']"
comp_375,четыре меньше или равно семь,100 ≤ 111,comparison,меньше или равно,1,"['comparison', 'inequality']"
logic_108,x равно b,x = b,logic,equality,1,"['logic', 'equality']"
comp_488,пятнадцать больше девять,1111 > 1001,comparison,больше,1,"['comparison', 'inequality']"
logic_1337,y является элементом множества Rat,y ∈ Rat,logic,membership,2,"['logic', 'membership']"
logic_1380,a является элементом множества Rat,a ∈ Rat,logic,membership,2,"['logic', 'membership']"
logic_433,b равно z,b = z,logic,equality,1,"['logic', 'equality']"
logic_104,"если z равно c, то c равно z",z = c . → . c = z,logic,implication,2,"['logic', 'implication']"
logic_1271,z является элементом множества Rat,z ∈ Rat,logic,membership,2,"['logic', 'membership']"
logic_915,c равно a,c = a,logic,equality,1,"['logic', 'equality']"
logic_263,"если b равно a, то a равно b",b = a . → . a = b,logic,implication,2,"['logic', 'implication']"
logic_1096,x является элементом множества Rat,x ∈ Rat,logic,membership,2,"['logic', 'membership']"
logic_1430,"для всех b, если b принадлежит Pri, то b принадлежит Int",∧ b . b ∈ Pri . → . b ∈ Int,logic,quantifier,3,"['logic', 'quantifier']"
math_488,четырнадцать плюс два равно шестнадцать,1110 + 10 = 10000,math,addition,1,"['arithmetic', 'addition']"
math_696,два умножить на шесть равно двенадцать,10 * 110 = 1100,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_1145,"существует c такой, что c принадлежит Pri",∨ c . c ∈ Pri,logic,quantifier,3,"['logic', 'quantifier']"
math_141,одиннадцать умножить на один равно одиннадцать,1011 * 1 = 1011,math,multiplication,1,"['arithmetic', 'multiplication']"
math_1035,четырнадцать минус два равно двенадцать,1110 - 10 = 1100,math,subtraction,1,"['arithmetic', 'subtraction']"
math_159,семь плюс семь равно четырнадцать,111 + 111 = 1110,math,addition,1,"['arithmetic', 'addition']"
math_1138,десять минус шесть равно четыре,1010 - 110 = 100,math,subtraction,1,"['arithmetic', 'subtraction']"
logic_832,"существует a такой, что a принадлежит Com",∨ a . a ∈ Com,logic,quantifier,3,"['logic', 'quantifier']"
math_375,три плюс девять равно двенадцать,11 + 1001 = 1100,math,addition,1,"['arithmetic', 'addition']"
comp_359,шесть меньше или равно девятнадцать,110 ≤ 10011,comparison,меньше или равно,1,"['comparison', 'inequality']"
logic_214,y является элементом множества Com,y ∈ Com,logic,membership,2,"['logic', 'membership']"
logic_736,"если b равно c, то c равно b",b = c . → . c = b,logic,implication,2,"['logic', 'implication']"
math_32,один плюс десять равно одиннадцать,1 + 1010 = 1011,math,addition,1,"['arithmetic', 'addition']"
math_1023,семь плюс три равно десять,111 + 11 = 1010,math,addition,1,"['arithmetic', 'addition']"
comp_267,шесть меньше семнадцать,110 < 10001,comparison,меньше,1,"['comparison', 'inequality']"
comp_213,два меньше пять,10 < 101,comparison,меньше,1,"['comparison', 'inequality']"
logic_1200,"существует c такой, что c принадлежит Pri",∨ c . c ∈ Pri,logic,quantifier,3,"['logic', 'quantifier']"
logic_45,z равно a,z = a,logic,equality,1,"['logic', 'equality']"
math_257,один умножить на десять равно десять,1 * 1010 = 1010,math,multiplication,1,"['arithmetic', 'multiplication']"
math_1152,пятнадцать минус одиннадцать равно четыре,1111 - 1011 = 100,math,subtraction,1,"['arithmetic', 'subtraction']"
logic_863,"если a равно z, то z равно a",a = z . → . z = a,logic,implication,2,"['logic', 'implication']"
logic_858,"если z равно x, то x равно z",z = x . → . x = z,logic,implication,2,"['logic', 'implication']"
logic_129,x является элементом множества Pri,x ∈ Pri,logic,membership,2,"['logic', 'membership']"
math_931,семь плюс десять равно семнадцать,111 + 1010 = 10001,math,addition,1,"['arithmetic', 'addition']"
logic_1120,b является элементом множества Pri,b ∈ Pri,logic,membership,2,"['logic', 'membership']"
math_2,девять плюс десять равно девятнадцать,1001 + 1010 = 10011,math,addition,1,"['arithmetic', 'addition']"
logic_847,"существует c такой, что c принадлежит Rea",∨ c . c ∈ Rea,logic,quantifier,3,"['logic', 'quantifier']"
logic_1173,"существует a такой, что a принадлежит Rea",∨ a . a ∈ Rea,logic,quantifier,3,"['logic', 'quantifier']"
logic_660,"если c равно a, то a равно c",c = a . → . a = c,logic,implication,2,"['logic', 'implication']"
logic_807,c является элементом множества Num,c ∈ Num,logic,membership,2,"['logic', 'membership']"
logic_511,c является элементом множества Pri,c ∈ Pri,logic,membership,2,"['logic', 'membership']"
math_1185,четырнадцать плюс четырнадцать равно двадцать восемь,1110 + 1110 = 11100,math,addition,1,"['arithmetic', 'addition']"
logic_1023,z является элементом множества Rat,z ∈ Rat,logic,membership,2,"['logic', 'membership']"
logic_366,x является элементом множества Rat,x ∈ Rat,logic,membership,2,"['logic', 'membership']"
logic_994,b является элементом множества Int,b ∈ Int,logic,membership,2,"['logic', 'membership']"
logic_1335,"для всех z, если z принадлежит Pri, то z принадлежит Rea",∧ z . z ∈ Pri . → . z ∈ Rea,logic,quantifier,3,"['logic', 'quantifier']"
logic_1446,"если y равно b, то b равно y",y = b . → . b = y,logic,implication,2,"['logic', 'implication']"
math_1019,семь умножить на пять равно тридцать пять,111 * 101 = 100011,math,multiplication,1,"['arithmetic', 'multiplication']"
math_896,шесть плюс пять равно одиннадцать,110 + 101 = 1011,math,addition,1,"['arithmetic', 'addition']"
math_302,тринадцать минус десять равно три,1101 - 1010 = 11,math,subtraction,1,"['arithmetic', 'subtraction']"
math_8,четырнадцать плюс один равно пятнадцать,1110 + 1 = 1111,math,addition,1,"['arithmetic', 'addition']"
logic_663,b является элементом множества Rat,b ∈ Rat,logic,membership,2,"['logic', 'membership']"
comp_471,девятнадцать больше четыре,10011 > 100,comparison,больше,1,"['comparison', 'inequality']"
comp_104,четырнадцать больше пять,1110 > 101,comparison,больше,1,"['comparison', 'inequality']"
logic_681,y равно a,y = a,logic,equality,1,"['logic', 'equality']"
comp_158,восемнадцать больше десять,10010 > 1010,comparison,больше,1,"['comparison', 'inequality']"
math_574,девять умножить на одиннадцать равно девяносто девять,1001 * 1011 = 1100011,math,multiplication,1,"['arithmetic', 'multiplication']"
math_958,пятнадцать плюс четырнадцать равно двадцать девять,1111 + 1110 = 11101,math,addition,1,"['arithmetic', 'addition']"
comp_13,двадцать больше или равно восемь,10100 ≥ 1000,comparison,больше или равно,1,"['comparison', 'inequality']"
logic_389,"если y равно x, то x равно y",y = x . → . x = y,logic,implication,2,"['logic', 'implication']"
logic_592,"для всех b, если b принадлежит Int, то b принадлежит Rea",∧ b . b ∈ Int . → . b ∈ Rea,logic,quantifier,3,"['logic', 'quantifier']"
math_602,семь плюс семь равно четырнадцать,111 + 111 = 1110,math,addition,1,"['arithmetic', 'addition']"
math_234,тринадцать минус два равно одиннадцать,1101 - 10 = 1011,math,subtraction,1,"['arithmetic', 'subtraction']"
logic_1456,"существует b такой, что b принадлежит Rea",∨ b . b ∈ Rea,logic,quantifier,3,"['logic', 'quantifier']"
math_631,шесть делить на три равно два,110 / 11 = 10,math,division,1,"['arithmetic', 'division']"
logic_881,a равно z,a = z,logic,equality,1,"['logic', 'equality']"
math_276,десять плюс одиннадцать равно двадцать один,1010 + 1011 = 10101,math,addition,1,"['arithmetic', 'addition']"
logic_1105,b является элементом множества Rat,b ∈ Rat,logic,membership,2,"['logic', 'membership']"
logic_708,b является элементом множества Com,b ∈ Com,logic,membership,2,"['logic', 'membership']"
math_434,шесть умножить на четырнадцать равно восемьдесят четыре,110 * 1110 = 1010100,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_1336,"для всех b, если b принадлежит Pri, то b принадлежит Int",∧ b . b ∈ Pri . → . b ∈ Int,logic,quantifier,3,"['logic', 'quantifier']"
logic_1414,a равно y,a = y,logic,equality,1,"['logic', 'equality']"
logic_1193,"для всех c, если c принадлежит Com, то c принадлежит Int",∧ c . c ∈ Com . → . c ∈ Int,logic,quantifier,3,"['logic', 'quantifier']"
math_254,девять плюс три равно двенадцать,1001 + 11 = 1100,math,addition,1,"['arithmetic', 'addition']"
comp_206,пять больше два,101 > 10,comparison,больше,1,"['comparison', 'inequality']"
comp_126,восемь больше шесть,1000 > 110,comparison,больше,1,"['comparison', 'inequality']"
logic_857,"существует y такой, что y принадлежит Num",∨ y . y ∈ Num,logic,quantifier,3,"['logic', 'quantifier']"
comp_137,девятнадцать больше два,10011 > 10,comparison,больше,1,"['comparison', 'inequality']"
comp_393,десять меньше двадцать,1010 < 10100,comparison,меньше,1,"['comparison', 'inequality']"
math_904,один плюс девять равно десять,1 + 1001 = 1010,math,addition,1,"['arithmetic', 'addition']"
logic_1272,"если y равно a, то a равно y",y = a . → . a = y,logic,implication,2,"['logic', 'implication']"
math_1053,тринадцать умножить на четыре равно пятьдесят два,1101 * 100 = 110100,math,multiplication,1,"['arithmetic', 'multiplication']"
comp_324,четырнадцать больше два,1110 > 10,comparison,больше,1,"['comparison', 'inequality']"
logic_1367,"если a равно b, то b равно a",a = b . → . b = a,logic,implication,2,"['logic', 'implication']"
logic_923,"если a равно y, то y равно a",a = y . → . y = a,logic,implication,2,"['logic', 'implication']"
math_513,пять умножить на четырнадцать равно семьдесят,101 * 1110 = 1000110,math,multiplication,1,"['arithmetic', 'multiplication']"
math_862,восемь умножить на одиннадцать равно восемьдесят восемь,1000 * 1011 = 1011000,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_553,a является элементом множества Int,a ∈ Int,logic,membership,2,"['logic', 'membership']"
logic_784,"для всех b, если b принадлежит Rea, то b принадлежит Num",∧ b . b ∈ Rea . → . b ∈ Num,logic,quantifier,3,"['logic', 'quantifier']"
math_734,три плюс пять равно восемь,11 + 101 = 1000,math,addition,1,"['arithmetic', 'addition']"
logic_993,c равно y,c = y,logic,equality,1,"['logic', 'equality']"
math_85,девять умножить на три равно двадцать семь,1001 * 11 = 11011,math,multiplication,1,"['arithmetic', 'multiplication']"
comp_406,десять больше или равно четыре,1010 ≥ 100,comparison,больше или равно,1,"['comparison', 'inequality']"
comp_129,пять меньше или равно шесть,101 ≤ 110,comparison,меньше или равно,1,"['comparison', 'inequality']"
logic_1281,c является элементом множества Pri,c ∈ Pri,logic,membership,2,"['logic', 'membership']"
comp_168,четырнадцать больше тринадцать,1110 > 1101,comparison,больше,1,"['comparison', 'inequality']"
math_397,тринадцать плюс двенадцать равно двадцать пять,1101 + 1100 = 11001,math,addition,1,"['arithmetic', 'addition']"
comp_43,шесть больше или равно три,110 ≥ 11,comparison,больше или равно,1,"['comparison', 'inequality']"
logic_1441,"существует b такой, что b принадлежит Int",∨ b . b ∈ Int,logic,quantifier,3,"['logic', 'quantifier']"
math_261,пять плюс десять равно пятнадцать,101 + 1010 = 1111,math,addition,1,"['arithmetic', 'addition']"
logic_1248,"для всех y, если y принадлежит Rea, то y принадлежит Com",∧ y . y ∈ Rea . → . y ∈ Com,logic,quantifier,3,"['logic', 'quantifier']"
math_906,восемь минус три равно пять,1000 - 11 = 101,math,subtraction,1,"['arithmetic', 'subtraction']"
logic_342,"для всех x, если x принадлежит Rea, то x принадлежит Rat",∧ x . x ∈ Rea . → . x ∈ Rat,logic,quantifier,3,"['logic', 'quantifier']"
logic_1486,b равно x,b = x,logic,equality,1,"['logic', 'equality']"
math_652,пятнадцать минус семь равно восемь,1111 - 111 = 1000,math,subtraction,1,"['arithmetic', 'subtraction']"
math_100,четыре умножить на пятнадцать равно шестьдесят,100 * 1111 = 111100,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_252,"существует a такой, что a принадлежит Com",∨ a . a ∈ Com,logic,quantifier,3,"['logic', 'quantifier']"
logic_642,y является элементом множества Rat,y ∈ Rat,logic,membership,2,"['logic', 'membership']"
math_729,четырнадцать плюс двенадцать равно двадцать шесть,1110 + 1100 = 11010,math,addition,1,"['arithmetic', 'addition']"
logic_1035,"существует x такой, что x принадлежит Num",∨ x . x ∈ Num,logic,quantifier,3,"['logic', 'quantifier']"
logic_1229,z является элементом множества Int,z ∈ Int,logic,membership,2,"['logic', 'membership']"
math_545,семь умножить на два равно четырнадцать,111 * 10 = 1110,math,multiplication,1,"['arithmetic', 'multiplication']"
math_778,один плюс тринадцать равно четырнадцать,1 + 1101 = 1110,math,addition,1,"['arithmetic', 'addition']"
math_732,семь умножить на семь равно сорок девять,111 * 111 = 110001,math,multiplication,1,"['arithmetic', 'multiplication']"
math_103,шесть плюс восемь равно четырнадцать,110 + 1000 = 1110,math,addition,1,"['arithmetic', 'addition']"
logic_648,"если c равно x, то x равно c",c = x . → . x = c,logic,implication,2,"['logic', 'implication']"
math_912,девять умножить на восемь равно семьдесят два,1001 * 1000 = 1001000,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_384,"если x равно y, то y равно x",x = y . → . y = x,logic,implication,2,"['logic', 'implication']"
logic_203,"если z равно y, то y равно z",z = y . → . y = z,logic,implication,2,"['logic', 'implication']"
logic_166,x равно z,x = z,logic,equality,1,"['logic', 'equality']"
math_153,четырнадцать плюс один равно пятнадцать,1110 + 1 = 1111,math,addition,1,"['arithmetic', 'addition']"
comp_436,семь меньше двенадцать,111 < 1100,comparison,меньше,1,"['comparison', 'inequality']"
logic_425,"если c равно z, то z равно c",c = z . → . z = c,logic,implication,2,"['logic', 'implication']"
math_166,семь умножить на два равно четырнадцать,111 * 10 = 1110,math,multiplication,1,"['arithmetic', 'multiplication']"
math_889,шесть умножить на десять равно шестьдесят,110 * 1010 = 111100,math,multiplication,1,"['arithmetic', 'multiplication']"
logic_773,"если a равно y, то y равно a",a = y . → . y = a,logic,implication,2,"['logic', 'implication']"
comp_388,четырнадцать больше четыре,1110 > 100,comparison,больше,1,"['comparison', 'inequality']"
math_1105,четырнадцать минус двенадцать равно два,1110 - 1100 = 10,math,subtraction,1,"['arithmetic', 'subtraction']"
